lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
105.11293610137831,26.343664139744007,花江狗肉牛肉馆,蟠龙镇黄金湾,贵州省,六盘水市,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0L1UC3RCK,餐饮服务,中餐厅,特色/地方风味餐厅,
105.18800319387393,26.034111728638717,小黎路亚渔庄,003县道,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0L1YKBZ1W,餐饮服务,中餐厅,中餐厅,
105.11329799833527,26.343512339286896,吉百味蛋糕屋蟠龙镇店,161乡道南侧,贵州省,六盘水市,,餐饮服务;糕饼店;糕饼店,050800,B0GRJORX30,餐饮服务,糕饼店,糕饼店,
105.11267219794576,26.343396823897752,神奇茶汤,蟠龙镇中心学校西南侧90米,贵州省,六盘水市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0L1RY9ZCV,餐饮服务,餐饮相关场所,餐饮相关,
105.06784105142982,25.664589293720955,避风塘,市场口,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0K26PJTCK,餐饮服务,中餐厅,特色/地方风味餐厅,
105.06800364212103,25.66467914081233,然伦包子铺,箐口小学东北侧130米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0L3AUV946,餐饮服务,中餐厅,中餐厅,
105.06864903258703,25.664982518387518,箐口蛋糕店,638县道,贵州省,黔西南布依族苗族自治州,,餐饮服务;糕饼店;糕饼店,050800,B0MBK7QYOQ,餐饮服务,糕饼店,糕饼店,
105.06750496439062,25.66302891801093,好友来蛋糕屋,儿童玩具店北侧50米,贵州省,黔西南布依族苗族自治州,,餐饮服务;糕饼店;糕饼店,050800,B0LBL1MVFP,餐饮服务,糕饼店,糕饼店,
105.07958936862234,25.637959872897774,辣子鸡,农商银行上虎村全能煤矿村村通服务点西北侧,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0L0SGHXCK,餐饮服务,中餐厅,中餐厅,
105.10214965215863,25.62369384928565,青山李记清真餐馆,地久村瓦厂北侧100米,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;清真菜馆,050121,B0HGN5N81R,餐饮服务,中餐厅,清真菜馆,
105.10155025942116,25.621042455023158,大众餐馆,雅迪电动车(纳兴高速店)西北侧,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0M6K7CI8O,餐饮服务,中餐厅,中餐厅,
105.09762008651258,25.616200486315474,云南鸡脚王,大厂立交桥西北侧,贵州省,黔西南布依族苗族自治州,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0K6FSDJFS,餐饮服务,餐饮相关场所,餐饮相关,
105.09707965022118,25.615981334437613,晴隆县地久黄记牛肉餐馆,大厂立交桥西北侧,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0K6FSDR5G,餐饮服务,中餐厅,中餐厅,
105.09800070277907,25.61625055364762,七里香包子铺,大厂立交桥东南侧,贵州省,黔西南布依族苗族自治州,,餐饮服务;中餐厅;中餐厅,050100,B0KRZ7B8FO,餐饮服务,中餐厅,中餐厅,
